Material_ID,Category,Material,Specification / Grade,Quality_Tier,Unit,Hyderabad_Low_INR,Hyderabad_Base_INR,Hyderabad_High_INR,India_Typical_INR,Wastage_%,GST_%,Rate_Date,Rate_Basis,Vendor_Quote_Required,IS_Code / Standard,Notes,Source_URL
HYD26-0122,"Doors, Windows, Glass & Facade",Toughened Glass,15 mm,Standard,sq ft,184.0,230.0,276.0,234.69,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0123,"Doors, Windows, Glass & Facade",Laminated Safety Glass,5+5 PVB,Standard,sq ft,240.0,300.0,360.0,306.12,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0124,"Doors, Windows, Glass & Facade",Low-E DGU,6+12+6,Standard,sq ft,336.0,420.0,504.0,428.57,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0125,"Doors, Windows, Glass & Facade",Aluminium Sliding Window,Installed standard,Standard,sq ft,520.0,650.0,780.0,663.27,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0126,"Doors, Windows, Glass & Facade",Slim Aluminium Window,Premium,Standard,sq ft,840.0,1050.0,1260.0,1071.43,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0127,"Doors, Windows, Glass & Facade",Thermal-break Aluminium,DGU system,Standard,sq ft,1360.0,1700.0,2040.0,1734.69,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0128,"Doors, Windows, Glass & Facade",uPVC DGU Window,Premium,Standard,sq ft,800.0,1000.0,1200.0,1020.41,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0129,Paints & Surface Finishes,Interior Emulsion,Standard,Standard,litre,180.0,268.0,355.0,273.47,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0130,Paints & Surface Finishes,Exterior Emulsion,Weathercoat,Standard,litre,223.0,316.0,408.0,322.45,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0131,Paints & Surface Finishes,Wall Primer,Water-based,Standard,litre,80.0,109.0,138.0,111.22,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0132,Paints & Surface Finishes,Wall Putty,White cement,Standard,kg,17.0,22.0,27.0,22.45,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0133,Paints & Surface Finishes,Enamel Paint,Metal/wood,Standard,litre,237.0,306.0,374.0,312.24,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0134,Paints & Surface Finishes,Luxury Interior Emulsion,Premium,Standard,litre,378.0,562.0,746.0,573.47,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0135,Paints & Surface Finishes,Premium Exterior Coating,Premium,Standard,litre,451.0,555.0,659.0,566.33,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0136,Paints & Surface Finishes,Economy Emulsion,Entry tier,Standard,litre,136.0,201.0,266.0,205.1,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0137,Paints & Surface Finishes,Distemper,Economy,Standard,litre,63.0,94.0,124.0,95.92,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0138,Paints & Surface Finishes,Texture Paint,Decorative,Standard,kg,84.0,105.0,126.0,107.14,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0139,Paints & Surface Finishes,Acrylic Putty,Ready mix,Standard,kg,25.6,32.0,38.4,32.65,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0140,Paints & Surface Finishes,Red Oxide Primer,Metal,Standard,litre,200.0,250.0,300.0,255.1,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0141,Paints & Surface Finishes,Zinc Chromate Primer,Metal,Standard,litre,288.0,360.0,432.0,367.35,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/paint/hyderabad
HYD26-0142,Paints & Surface Finishes,PU Wood Polish,2K,Standard,litre,520.0,650.0,780.0,663.27,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/paint/hyderabad
HYD26-0143,Paints & Surface Finishes,Melamine Polish,Wood,Standard,litre,416.0,520.0,624.0,530.61,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/paint/hyderabad
HYD26-0144,Waterproofing & Chemicals,Waterproofing Chemical,Dr Fixit/SikaTop class,Standard,litre,121.0,171.0,221.0,172.73,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0145,Waterproofing & Chemicals,APP Membrane,3 mm,Standard,m²,119.0,156.0,193.0,157.58,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0146,Waterproofing & Chemicals,Integral Admixture,LW+ class,Standard,kg,75.0,113.0,151.0,114.14,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0147,Waterproofing & Chemicals,Roof Coating,Acrylic,Standard,litre,145.0,205.0,265.0,207.07,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0148,Waterproofing & Chemicals,Exterior Waterproof Coating,Raincoat class,Standard,litre,382.0,517.0,651.0,522.22,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0149,Waterproofing & Chemicals,Polymeric Waterproofing,Nitoproof class,Standard,litre,169.0,239.0,309.0,241.41,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0150,Waterproofing & Chemicals,Cementitious Waterproofing,Brushbond class,Standard,kg,70.0,101.0,131.0,102.02,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0151,Waterproofing & Chemicals,Crystalline Waterproofing,Top Seal class,Standard,kg,95.0,138.0,180.0,139.39,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0152,Waterproofing & Chemicals,PU Liquid Membrane,1-component,Standard,kg,266.0,376.0,485.0,379.8,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0153,Waterproofing & Chemicals,Bituminous Coating,General,Standard,kg,72.0,102.0,132.0,103.03,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0154,Waterproofing & Chemicals,APP Membrane,4 mm polyester,Standard,m²,184.0,230.0,276.0,232.32,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0155,Waterproofing & Chemicals,HDPE Membrane,1.0 mm,Standard,m²,176.0,220.0,264.0,222.22,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0156,Waterproofing & Chemicals,EPDM Membrane,1.2 mm,Standard,m²,520.0,650.0,780.0,656.57,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0157,Waterproofing & Chemicals,PVC/TPO Membrane,1.5 mm,Standard,m²,760.0,950.0,1140.0,959.6,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0158,Waterproofing & Chemicals,PU Sealant,600 ml,Standard,piece,336.0,420.0,504.0,424.24,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0159,Waterproofing & Chemicals,Polysulphide Sealant,2 part,Standard,kg,416.0,520.0,624.0,525.25,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/waterproofing/hyderabad
HYD26-0160,Plumbing & Sanitary,CPVC Pipe,15 mm,Standard,metre,44.0,54.0,64.0,55.1,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0161,Plumbing & Sanitary,SWR PVC Pipe,110 mm,Standard,metre,280.0,330.0,380.0,336.73,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0162,Plumbing & Sanitary,GI Pipe,25 mm,Standard,metre,200.0,252.0,304.0,257.14,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0163,Plumbing & Sanitary,Water Tank,1000 L,Standard,piece,5408.0,6448.0,7488.0,6579.59,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0164,Plumbing & Sanitary,CPVC Pipe,20 mm branded,Standard,metre,59.0,74.0,90.0,75.51,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0165,Plumbing & Sanitary,uPVC Pipe,25 mm,Standard,metre,37.0,46.0,55.0,46.94,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0166,Plumbing & Sanitary,PPR Pipe,25 mm,Standard,metre,57.0,71.0,84.0,72.45,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0167,Plumbing & Sanitary,GI Pipe,20 mm Class B,Standard,metre,160.0,202.0,244.0,206.12,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0168,Plumbing & Sanitary,Wall-hung WC,Premium,Standard,piece,24336.0,29016.0,33696.0,29608.16,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0169,Plumbing & Sanitary,One-piece WC,Mid-range,Standard,piece,9734.0,11606.0,13478.0,11842.86,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0170,Plumbing & Sanitary,Floor WC,Standard,Standard,piece,7464.0,9010.0,10555.0,9193.88,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0171,Plumbing & Sanitary,Basin Faucet,Mid-range,Standard,piece,4326.0,5158.0,5990.0,5263.27,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0172,Plumbing & Sanitary,Basin Faucet,Premium,Standard,piece,9734.0,11606.0,13478.0,11842.86,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0173,Plumbing & Sanitary,Wash Basin,Counter-top,Standard,piece,2189.0,3357.0,4524.0,3425.51,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0174,Plumbing & Sanitary,Water Tank,1000 L 3-layer,Standard,piece,6490.0,7738.0,8986.0,7895.92,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0175,Plumbing & Sanitary,CPVC Pipe,25 mm,Standard,metre,84.0,105.0,126.0,107.14,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0176,Plumbing & Sanitary,CPVC Pipe,32 mm,Standard,metre,132.0,165.0,198.0,168.37,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0177,Plumbing & Sanitary,SWR PVC Pipe,75 mm,Standard,metre,176.0,220.0,264.0,224.49,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0178,Plumbing & Sanitary,HDPE Pipe,32 mm PE100,Standard,metre,68.0,85.0,102.0,86.73,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0179,Plumbing & Sanitary,HDPE Pipe,63 mm PE100,Standard,metre,168.0,210.0,252.0,214.29,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/plumbing/hyderabad
HYD26-0180,Electrical,Copper Wire,1.0 sqmm FR,Standard,metre,16.0,22.0,27.0,22.68,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0181,Electrical,Copper Wire,2.5 sqmm FR,Standard,metre,44.0,55.0,65.0,56.7,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0182,Electrical,MCB,16A SP,Standard,piece,121.0,171.0,221.0,176.29,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0183,Electrical,Modular Plate,6M,Standard,piece,179.0,266.0,352.0,274.23,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0184,Electrical,LED Bulb,9W,Standard,piece,58.0,90.0,121.0,92.78,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0185,Electrical,Copper Wire,1.5 sqmm branded,Standard,metre,28.0,34.0,40.0,35.05,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0186,Electrical,Copper Wire,2.5 sqmm premium,Standard,metre,52.0,59.0,65.0,60.82,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0187,Electrical,Copper Wire,2.5 sqmm FRLS premium,Standard,metre,56.0,70.0,84.0,72.16,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0188,Electrical,Modular Switch,Premium 6A,Standard,piece,321.0,477.0,633.0,491.75,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0189,Electrical,Modular Switch,Economy 6A,Standard,piece,125.0,186.0,246.0,191.75,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0190,Electrical,MCB,32A SP branded,Standard,piece,182.0,257.0,331.0,264.95,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0191,Electrical,Ceiling Fan,48 in,Standard,piece,3927.0,5833.0,7739.0,6013.4,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0192,Electrical,LED Bulb,9W branded,Standard,piece,81.0,125.0,169.0,128.87,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0193,Electrical,Modular Switch,1-way 6A,Standard,piece,46.0,93.0,139.0,95.88,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0194,Electrical,Modular Socket,6/16A,Standard,piece,100.0,208.0,316.0,214.43,0.05,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0195,Electrical,Copper Wire,4 sqmm FRLS,Standard,metre,73.6,92.0,110.4,94.85,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0196,Electrical,Copper Wire,6 sqmm FRLS,Standard,metre,108.0,135.0,162.0,139.18,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0197,Electrical,Copper Wire,10 sqmm FRLS,Standard,metre,188.0,235.0,282.0,242.27,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0198,Electrical,PVC Conduit,20 mm heavy,Standard,metre,30.4,38.0,45.6,39.18,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0199,Electrical,PVC Conduit,25 mm heavy,Standard,metre,41.6,52.0,62.4,53.61,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/electrical/hyderabad
HYD26-0200,"Roofing, Ceiling & Insulation",Gypsum Board,12.5 mm regular,Standard,sq ft,14.0,19.0,23.0,19.19,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0201,"Roofing, Ceiling & Insulation",Gypsum Board,Moisture resistant,Standard,sq ft,24.0,30.0,36.0,30.3,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0202,"Roofing, Ceiling & Insulation",Gypsum Board,Fire resistant,Standard,sq ft,30.4,38.0,45.6,38.38,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0203,"Roofing, Ceiling & Insulation",Calcium Silicate Board,6 mm,Standard,sq ft,44.0,55.0,66.0,55.56,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0204,"Roofing, Ceiling & Insulation",Cement Fibre Board,8 mm,Standard,sq ft,38.4,48.0,57.6,48.48,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0205,"Roofing, Ceiling & Insulation",GI Ceiling Channel,Framework,Standard,rmt,33.6,42.0,50.4,42.42,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0206,"Roofing, Ceiling & Insulation",Mineral Fibre Ceiling Tile,600×600,Standard,sq ft,84.0,105.0,126.0,106.06,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0207,"Roofing, Ceiling & Insulation",PVC Ceiling Panel,8–10 mm,Standard,sq ft,68.0,85.0,102.0,85.86,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0208,"Roofing, Ceiling & Insulation",Galvalume Roofing Sheet,0.50 mm,Standard,sq ft,41.6,52.0,62.4,52.53,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0209,"Roofing, Ceiling & Insulation",Polycarbonate Sheet,6 mm multiwall,Standard,sq ft,104.0,130.0,156.0,131.31,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0210,"Roofing, Ceiling & Insulation",PUF Sandwich Panel,50 mm,Standard,sq ft,152.0,190.0,228.0,191.92,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0211,"Roofing, Ceiling & Insulation",Rockwool,50 mm 48 kg/m³,Standard,sq ft,60.0,75.0,90.0,75.76,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0212,"Roofing, Ceiling & Insulation",Glass Wool,50 mm,Standard,sq ft,44.0,55.0,66.0,55.56,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0213,"Roofing, Ceiling & Insulation",XPS Board,50 mm,Standard,sq ft,76.0,95.0,114.0,95.96,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0214,Special & Premium Materials,Epoxy Flooring,Industrial 1–2 mm installed,Standard,sq ft,63.0,105.0,147.0,105.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0215,Special & Premium Materials,Self-leveling Epoxy,3 mm installed,Standard,sq ft,108.0,180.0,252.0,180.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0216,Special & Premium Materials,Metallic Epoxy,Decorative,Standard,sq ft,192.0,320.0,448.0,320.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0217,Special & Premium Materials,Microcement,Decorative topping,Standard,sq ft,195.0,325.0,455.0,325.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0218,Special & Premium Materials,Engineered Wood Flooring,Mid-range,Standard,sq ft,270.0,450.0,630.0,450.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0219,Special & Premium Materials,Solid Hardwood Flooring,Premium,Standard,sq ft,540.0,900.0,1260.0,900.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0220,Special & Premium Materials,Exterior HPL,Panel supply,Standard,sq ft,252.0,420.0,588.0,420.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0221,Special & Premium Materials,Exterior HPL,Installed facade,Standard,sq ft,480.0,800.0,1120.0,800.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0222,Special & Premium Materials,PET Acoustic Panel,9–12 mm,Standard,sq ft,51.0,85.0,119.0,85.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0223,Special & Premium Materials,Wood Wool Acoustic,25 mm,Standard,sq ft,72.0,120.0,168.0,120.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0224,Special & Premium Materials,Slatted Wood Acoustic,Felt backed,Standard,sq ft,114.0,190.0,266.0,190.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0225,Special & Premium Materials,Fabric Acoustic Panel,50 mm,Standard,sq ft,108.0,180.0,252.0,180.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0226,Special & Premium Materials,Terracotta Facade,Ventilated system,Standard,sq ft,495.0,825.0,1155.0,825.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0227,Special & Premium Materials,GRC Facade Panel,Custom,Standard,sq ft,330.0,550.0,770.0,550.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0228,Special & Premium Materials,GFRC Panel,Architectural,Standard,sq ft,420.0,700.0,980.0,700.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0229,Special & Premium Materials,Solid Surface,12 mm,Standard,sq ft,510.0,850.0,1190.0,850.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0230,Special & Premium Materials,Imported Solid Surface,Luxury,Standard,sq ft,1320.0,2200.0,3080.0,2200.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0231,Special & Premium Materials,Nano Glass Countertop,15–18 mm,Standard,sq ft,390.0,650.0,910.0,650.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0232,Special & Premium Materials,Compact Laminate,12 mm,Standard,sq ft,270.0,450.0,630.0,450.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0233,Special & Premium Materials,UHPC Panel,Architectural precast,Standard,sq ft,720.0,1200.0,1680.0,1200.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0234,Special & Premium Materials,Corten Steel Cladding,Fabricated,Standard,sq ft,510.0,850.0,1190.0,850.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
HYD26-0235,Special & Premium Materials,Perforated Aluminium Facade,Custom,Standard,sq ft,540.0,900.0,1260.0,900.0,0.1,0.18,2026-08-12,Derived estimating rate,YES,,Specialist/vendor quotation recommended; estimating allowance only.,https://infralens.in/prices
